109
1585
369 122 497 228 313 146 386 384 402 230 120 274 123 159 495 415 402 241 463 428 100 189 348 485 293 226 237 394 145 399 196 258
271 215 495 83 419 103 411 310 71 447 129 27 329 247 448 191 284 479 53 365 434 265 436 64 146 43 391 83 140 231 464 263
76 426 224 47 485 467 114 419 231 453 179 477 14 213 28 203 258 192 121 198 42 192 115 15 164 477 51 430 366 333 172 406
75 71 20 147 470 425 242 357 426 72 389 362 241 230 316 3 464 41 10 132 111 428 77 281 482 373 312 271 217 57 398 148
122 155 63 25 123 215 328 407 319 235 33 57 429 464 256 306 275 9 324 264 295 124 368 74 150 220 1 315 181 124 293 214
96 341 343 44 269 500 185 35 489 270 279 260 403 260 284 11 200 448 241 23 326 199 192 130 383 9 183 404 35 177 124 376
337 322 54 396 298 377 388 171 69 23 181 280 174 417 330 90 426 399 351 238 357 246 324 94 416 70 33 367 398 484 235 19
151 104 23 406 103 454 22 162 478 159 264 204 418 279 243 130 19 386 332 98 147 183 442 400 25 444 336 170 140 64 410 189
224 456 205 381 226 459 490 198 174 499 96 255 355 255 189 474 409 266 137 411 43 373 218 41 221 309 422 93 280 151 165 53
41 168 339 152 157 229 309 368 219 86 354 228 180 229 22 373 446 467 181 315 223 141 328 406 486 30 39 344 327 208 187 263
411 384 348 82 488 16 74 435 312 348 401 225 18 65 35 121 399 331 188 186 197 487 291 17 310 79 348 231 486 190 191 228
391 40 294 71 272 188 204 161 333 143 128 492 59 14 377 96 256 266 199 468 288 61 135 397 134 361 229 110 314 147 356 470
252 103 63 70 437 38 232 89 461 366 228 45 415 350 496 433 164 342 178 364 34 282 278 149 457 154 436 81 365 364 475 359
327 90 407 186 261 115 63 103 406 72 122 405 253 14 185 284 294 189 240 412 283 67 314 453 45 34 159 204 368 369 246 270
211 394 210 422 295 38 65 498 163 329 38 231 239 349 265 177 66 450 425 400 283 328 301 94 394 495 67 222 258 467 445 29
426 64 266 79 156 85 83 166 479 364 116 178 486 482 266 459 146 434 41 129 101 326 490 283 141 65 321 156 315 274 48 258
329 87 304 483 298 79 88 338 320 369 462 310 173 432 474 289 22 423 443 15 42 24 486 329 395 296 136 334 108 393 293 214
317 328 16 255 456 322 280 149 329 490 155 248 126 413 414 351 208 153 233 38 353 31 81 226 213 248 238 105 175 311 74 161
442 368 164 376 441 177 500 205 67 390 190 264 288 55 164 124 239 63 137 231 127 73 50 26 149 485 197 443 316 215 128 493
444 462 82 417 168 479 296 370 161 98 391 82 256 264 240 256 451 158 255 12 47 484 202 259 235 495 124 111 299 181 25 26
145 254 306 452 432 335 345 241 147 275 5 434 56 221 69 452 136 373 188 392 207 188 24 206 27 292 288 100 186 284 148 38
198 259 231 392 282 144 423 320 349 313 61 66 500 50 202 192 407 174 286 481 188 387 74 102 309 261 206 257 21 24 20 71
366 171 412 243 266 234 77 311 458 264 72 168 477 314 164 84 202 316 379 432 154 304 173 260 425 261 273 251 363 289 154 244
418 9 189 170 345 57 214 299 158 408 461 372 447 353 323 14 306 243 136 496 336 401 498 398 297 296 117 370 27 299 246 88
269 323 370 318 397 431 195 76 421 349 125 17 294 486 359 57 98 10 226 161 215 78 212 354 105 211 257 397 314 472 242 447
435 377 373 32 362 71 266 107 288 167 340 245 270 193 161 490 89 236 468 273 176 280 182 347 396 445 370 349 330 412 355 136
313 248 99 491 127 143 286 153 116 483 499 153 395 148 361 107 354 361 251 163 246 179 287 479 479 408 370 141 148 63 294 347
279 195 459 203 420 177 489 396 412 75 149 22 148 490 366 41 178 474 227 336 132 383 246 110 104 424 276 139 478 288 357 140
71 56 316 380 301 123 125 26 343 464 272 116 327 120 27 52 212 170 368 242 52 349 395 71 3 494 282 476 81 209 335 479
451 450 244 245 334 103 388 494 148 165 147 331 31 465 394 46 334 294 119 274 379 371 436 480 20 468 472 90 214 452 429 91
479 471 19 429 204 404 254 96 480 384 493 447 475 149 449 20 5 153 291 309 55 476 172 146 233 329 279 269 253 456 481 69
436 259 240 140 99 415 58 170 84 375 235 332 132 368 96 8 378 173 405 152 291 346 388 99 90 313 439 328 460 208 424 219
264 168 45 206 343 49 95 72 245 166 480 128 4 134 197 121 229 386 137 489 169 155 299 371 294 6 134 335 185 355 121 32
342 61 239 158 82 208 352 258 473 459 455 361 395 160 354 61 328 470 482 152 189 315 114 113 491 69 245 79 233 383 311 192
213 360 282 468 242 388 276 411 341 423 112 391 127 349 387 306 448 404 42 270 229 271 361 186 40 470 289 58 32 425 281 463
259 104 294 275 77 85 168 438 267 227 60 349 106 368 299 251 47 461 262 229 415 29 233 68 263 213 234 289 30 287 237 345
